;id;sort;name;theme;icon;color;ids;places;events
0;7266;10;Концерты;[];https://vdnh.ru/upload/iblock/a72/a72e0588599fc3dc7dd5ff52f39353e0.svg;#8a539d;[30498, 30500, 25717, 30084, 30087, 30088, 30089, 29330, 29347, 29348, 24485, 29349, 25308, 25312, 30182, 28648, 26346];[];['1637']
1;7267;20;Музеи;[];https://vdnh.ru/upload/iblock/90a/90a3679e2a858cd25657f74067e06a4c.svg;#e72d3e;[29601, 28430, 30290, 20077, 30473, 13837, 19220, 1086, 7230, 25664, 25923, 26439, 3697, 17016, 17018, 1408, 27059, 2493, 29142, 29399, 30175, 30438, 26344, 24822, 13893, 11787, 6407];[];['55']
2;7268;30;Еда;[];https://vdnh.ru/upload/iblock/fdc/fdc5b5d3a14b41106db3a1aa20fa1f15.svg;#893e4f;[306, 4551, 246, 301, 324, 388, 425, 3507, 436, 437, 3270, 305, 439, 2748, 2776, 476, 2046, 27914, 8972, 30483, 30487, 5663, 30503, 308, 29242, 29243, 13132, 25431, 21848, 24683, 3957, 5505, 11667, 14485, 3222, 27047, 17321, 5327, 21484, 13149, 13150, 13153, 13154, 13155, 13158, 13159, 13160, 13161, 13162, 2744, 477, 6726, 6727, 3694, 2743, 7889, 8746];['191', '199', '1623', '6782'];[]
3;7269;40;Транспорт;[];https://vdnh.ru/upload/iblock/3a5/3a5a06e492f84840277b014edbc92af0.svg;#3a8f8c;[3626, 3627, 3628, 3629, 3630, 3631, 4474, 4476, 4477, 4478, 4479, 4480, 4481, 4482, 4483, 4484, 4485, 4486, 4487, 4488, 4489, 4490, 4491, 4492, 4493, 5632, 6740, 6741, 6742, 6743, 6746, 6748, 6749, 356, 6766, 6767, 6768, 6769, 6770, 6771, 6772, 6773, 6774, 6775, 6776, 6777, 6778, 6779, 6780, 6781, 2514, 2516, 3494, 3497, 3499, 3500, 3501];['1629', '4473', '217', '3504', '4502'];[]
4;7270;50;Обучение;[];https://vdnh.ru/upload/iblock/a32/a32090e645f72f6456bb191de395fa9b.svg;#f07e3a;[12686, 13472, 30466, 30494, 27693, 30259, 25407, 30295, 28248, 30296, 30298, 30299, 30095, 29588, 29356, 29358, 28100, 27603, 29411, 30180, 30204, 30463, 6954];[];['1639']
5;7271;60;Туалеты;[];https://vdnh.ru/upload/iblock/31f/31fb6df366ad5a57a175ce00af22a774.svg;#575756;[2296, 2297, 6313, 2304, 2305, 2306, 2307, 2308, 2310, 2311, 2312, 2313, 3196, 3197, 2968, 2970, 2265, 2266, 2268, 2269, 2270, 2271, 2272, 2273];['222'];[]
6;7272;70;Спорт;[];https://vdnh.ru/upload/iblock/d74/d749c19d735176009720566eac621d2a.svg;#2da1db;[283, 460, 341, 389, 394, 2990, 461, 29692, 18690, 19253, 20837, 3954, 14968, 15312, 21469, 8531];['213'];['683']
7;7274;81;Экскурсии;[];https://vdnh.ru/upload/iblock/bf8/bf8a8db62a11e44c06eb9300d34abc2a.svg;#e72d3e;[29192, 10370, 6237, 6246, 13761, 30464, 27922, 29205, 29206, 7959, 22553, 7198, 20268, 20272, 25675, 25680, 25684, 29526, 29528, 29529, 25695, 12642, 12643, 17260, 25710, 25712, 25716, 13437, 26749, 13438, 10368, 10369, 10371, 26755, 10372, 6533, 29583, 29585, 29587, 29589, 29590, 23977, 22704, 11698, 11699, 4566, 26860, 9089, 5866, 5867, 5868, 713, 5185, 5186, 12647, 12649];[];['687']
8;7275;91;Лекции;[];https://vdnh.ru/upload/iblock/873/873f09f26cba44309f67a4d373b566d3.svg;#f07e3a;[12686, 13472, 30466, 30494, 27693, 30259, 25407, 30295, 28248, 30296, 30298, 30299, 30095, 29588, 29356, 29358, 28100, 27603, 29411, 30180, 30204, 30463, 6954];[];['1639']
9;7276;101;Сувениры;[];https://vdnh.ru/upload/iblock/b5a/b5a8e0cbf931277564468b643e6584d1.svg;#575756;[2986, 18908];['1619'];[]
10;7273;111;Фонтаны;[];https://vdnh.ru/upload/iblock/752/752afd7d08a78505962cc794b90da9cf.svg;#68b650;[391, 392, 393, 395, 335];['233'];[]
11;7277;120;Парковки;[];https://vdnh.ru/upload/iblock/5ec/5ecb4b686232cd4ee5a58a603c2f52f6.svg;#575756;[5632, 6740, 6741, 6742, 6743, 6746, 6748, 6749, 356, 6766, 6767, 6768, 6769, 6770, 6771, 6772, 6773, 6774, 6775, 6776, 6777, 6778, 6779, 6780, 6781, 2514, 2516];['217'];[]
